ID,SampleID,StartTimeUTC,EndTimeUTC,StartTimeLocal,EndTimeLocal,TCcounts,TCmass,TCconc,AE33_BC6,AE33_ValidData,AE33_b,OC,EC,CO2,Volume,Chamber,SetupID,a1,b1,c1,d1,e1,f1,a2,b2,c2,d2,e2,f2
5384,5449,2022-11-02 11:00:00,2022-11-02 12:00:00,2022-11-02 14:00:00,2022-11-02 15:00:00,211.4,3619.22,3650,1352,100,1,2298,1352,411.73,991.64,2,24,409.123735929686,-0.0296153645074746,0.000429552579090972,-0.0000041264768456933,0.0000000155492653817937,-0.0000000000194528076133298,410.333844242503,0.00247453575334165,0.000306865997466494,-0.00000340764547533387,0.0000000127474414874311,-0.0000000000157146246719301
,,2022-11-02 16:17:26,2022-11-02 16:17:26,2022-11-02 16:17:26,2022-11-02 16:17:26,,,,,,,,,,,,,,,,,,,,,,,,
,,2022-11-02 17:17:26,2022-11-02 17:17:26,2022-11-02 17:17:26,2022-11-02 17:17:26,,,,,,,,,,,,,,,,,,,,,,,,
,,2022-11-02 18:17:26,2022-11-02 18:17:26,2022-11-02 18:17:26,2022-11-02 18:17:26,,,,,,,,,,,,,,,,,,,,,,,,
5388,5453,2022-11-02 15:00:00,2022-11-02 16:00:00,2022-11-02 18:00:00,2022-11-02 19:00:00,327.36,5604.37,5657,1232,100,1,4425,1232,413.6,990.67,2,24,413.501096020494,-0.0234507697365575,-0.0000669441336858352,-0.0000000951594617117673,0.00000000270636287794372,-0.00000000000494850144621286,411.475034882541,0.0230647770541784,-0.000168515307278041,0.000000559196059800833,-0.000000000730467366373774,0.000000000000532748921308675
5388,5453,2022-11-02 15:00:00,2022-11-02 16:00:00,2022-11-02 18:00:00,2022-11-02 19:00:00,327.36,5604.37,5657,1232,100,1,4425,1232,413.6,990.67,2,24,413.501096020494,-0.0234507697365575,-0.0000669441336858352,-0.0000000951594617117673,0.00000000270636287794372,-0.00000000000494850144621286,411.475034882541,0.0230647770541784,-0.000168515307278041,0.000000559196059800833,-0.000000000730467366373774,0.000000000000532748921308675
5388,5453,2022-11-02 15:00:00,2022-11-02 16:00:00,2022-11-02 18:00:00,2022-11-02 19:00:00,327.36,5604.37,5657,1232,100,1,4425,1232,413.6,990.67,2,24,413.501096020494,-0.0234507697365575,-0.0000669441336858352,-0.0000000951594617117673,0.00000000270636287794372,-0.00000000000494850144621286,411.475034882541,0.0230647770541784,-0.000168515307278041,0.000000559196059800833,-0.000000000730467366373774,0.000000000000532748921308675
5388,5453,2022-11-02 15:00:00,2022-11-02 16:00:00,2022-11-02 18:00:00,2022-11-02 19:00:00,327.36,5604.37,5657,1232,100,1,4425,1232,413.6,990.67,2,24,413.501096020494,-0.0234507697365575,-0.0000669441336858352,-0.0000000951594617117673,0.00000000270636287794372,-0.00000000000494850144621286,411.475034882541,0.0230647770541784,-0.000168515307278041,0.000000559196059800833,-0.000000000730467366373774,0.000000000000532748921308675
5388,5453,2022-11-02 15:00:00,2022-11-02 16:00:00,2022-11-02 18:00:00,2022-11-02 19:00:00,327.36,5604.37,5657,1232,100,1,4425,1232,413.6,990.67,2,24,413.501096020494,-0.0234507697365575,-0.0000669441336858352,-0.0000000951594617117673,0.00000000270636287794372,-0.00000000000494850144621286,411.475034882541,0.0230647770541784,-0.000168515307278041,0.000000559196059800833,-0.000000000730467366373774,0.000000000000532748921308675
5389,5454,2022-11-02 16:00:00,2022-11-02 17:00:00,2022-11-02 19:00:00,2022-11-02 20:00:00,260.65,4493.56,4537,1271,100,1,3266,1271,412.58,990.51,1,24,412.319813804414,-0.0294955099989138,0.000221874969052623,-0.0000025487194912931,0.0000000106623936748356,-0.0000000000139363190733059,410.185048853487,0.0159411707437497,0.0000268425061795742,-0.000000678981913430211,0.00000000225022221256748,-0.00000000000190360410508837
