TimeStamp,DataID,DataID2,DeviceID,DeviceData
2022-10-10 20:17:30.242410,16841876,16908773,18,7.3 83 1001.1 4.6 0
2022-10-10 21:17:30.239823,16845536,16912373,18,5.7 90 1001.2 4.2 0
2022-10-10 22:17:30.235543,16849196,16915973,18,5 94 1001.1 4.2 0
2022-10-10 23:17:30.247279,16852856,16919573,18,4.3 99 1000.9 4.2 0
2022-10-11 00:17:30.258905,16856516,16923173,18,3.8 100 1000.7 3.8 0
2022-10-11 01:17:30.261027,16860176,16926773,18,3.5 100 1000.5 3.5 0
2022-10-11 02:17:30.251478,16863836,16930373,18,3.2 100 1000.3 3.2 0
2022-10-11 03:17:30.242591,16867496,16933973,18,3 100 1000 3 0
2022-10-11 04:17:30.525257,16871157,16937574,18,2.4 100 999.9 2.4 0
2022-10-11 05:17:30.251121,16874817,16941174,18,2.2 100 999.9 2.2 0
2022-10-11 06:17:30.266527,16878477,16944774,18,1.9 100 999.8 1.9 0
2022-10-11 07:17:30.250564,16882137,16948374,18,1.4 100 999.6 1.4 0
2022-10-11 08:17:30.267111,16885797,16951974,18,4.4 100 999.6 4.4 0
2022-10-11 09:17:30.230419,16889457,16955574,18,6.1 89 999.4 4.5 0
2022-10-11 10:17:30.268691,16893117,16959174,18,9 72 999.4 4.3 0
2022-10-11 11:17:30.241800,16896777,16962774,18,9.3 66 999.1 3.4 0
2022-10-11 12:17:30.258307,16900437,16966374,18,10.2 57 998.5 2 0
2022-10-11 13:17:30.234611,16904097,16969974,18,11.2 51 997.9 1.6 0
2022-10-11 14:17:29.752178,16907756,16973573,18,11.6 46 997.3 0.6 0
2022-10-11 15:17:30.251011,16911417,16977174,18,11.7 46 996.7 0.5 0
2022-10-11 16:17:30.272777,16915077,16980774,18,11.1 49 996.2 0.9 0
2022-10-11 17:17:30.249714,16918737,16984374,18,8.6 60 996.2 1.4 0
2022-10-11 18:17:30.274177,16922397,16987974,18,5.9 70 996.3 0.9 0
2022-10-11 19:17:30.258124,16926057,16991574,18,5 76 996.3 1.1 0
2022-10-11 20:17:30.247310,16929717,16995174,18,5.2 90 996.2 3.8 0
2022-10-11 21:17:30.253115,16933377,16998774,18,4.5 95 995.9 3.8 0
2022-10-11 22:17:30.257826,16937037,17002374,18,3.6 100 995.4 3.6 0
2022-10-11 23:17:30.247482,16940698,17005975,18,3.1 100 995.3 3.1 0
2022-10-12 00:17:30.261635,16944358,17009575,18,2.7 100 995 2.7 0
2022-10-12 01:17:30.278373,16948018,17013175,18,2.4 100 995 2.4 0
2022-10-12 02:17:30.282134,16951678,17016775,18,2.2 100 994.8 2.2 0
2022-10-12 03:17:30.637825,16955339,17020376,18,1.9 100 994.7 1.8 0
2022-10-12 04:17:29.812057,16958998,17023975,18,2.1 100 994.3 2.1 0
2022-10-12 05:17:29.813878,16962658,17027575,18,2.1 100 994 2.1 0
2022-10-12 06:17:29.795671,16966318,17031175,18,2 100 993.8 2 0
2022-10-12 07:17:29.805610,16969979,17034776,18,2.7 100 993.8 2.7 0
2022-10-12 08:17:29.821672,16973639,17038376,18,6.2 85 993.9 3.9 0
2022-10-12 09:17:29.843533,16977299,17041976,18,7.1 81 993.9 4.1 0
2022-10-12 10:17:29.782982,16980958,17045575,18,9.1 66 993.8 3.2 0
2022-10-12 11:17:26.312986,,,,
2022-10-12 12:17:25.989080,,,,
2022-10-12 13:17:26.001021,,,,
2022-10-12 14:17:25.903503,,,,
2022-10-12 15:17:26.691092,,,,
2022-10-12 16:17:26.449347,,,,
2022-10-12 17:17:26.394659,,,,
2022-10-12 18:17:26.525218,,,,
2022-10-12 19:17:26.521990,,,,
2022-10-12 20:17:26.417583,,,,
2022-10-12 21:17:26.429848,,,,
2022-10-12 22:17:26.471549,,,,
2022-10-12 23:17:26.394538,,,,
2022-10-13 00:17:26.392949,,,,
2022-10-13 01:17:26.464326,,,,
2022-10-13 02:17:26.360651,,,,
2022-10-13 03:17:26.406534,,,,
2022-10-13 04:17:26.413766,,,,
2022-10-13 05:17:26.363277,,,,
2022-10-13 06:17:26.437357,,,,
2022-10-13 07:17:26.440896,,,,
2022-10-13 08:17:26.510372,,,,
2022-10-13 09:17:26.454074,,,,
2022-10-13 10:17:26.381615,,,,
2022-10-13 11:17:25.981296,,,,
2022-10-13 12:17:26.412114,,,,
2022-10-13 13:17:26.441161,,,,
2022-10-13 14:17:26.046505,,,,
2022-10-13 15:17:26.537129,,,,
2022-10-13 16:17:30.742418,17090760,17153577,18,8.4 73 999.3 4 0
2022-10-13 17:17:29.808417,17094419,17157176,18,7.4 79 999.5 4.1 0
2022-10-13 18:17:29.784269,17098079,17160776,18,6.5 82 999.8 3.7 0
2022-10-13 19:17:29.816262,17101739,17164376,18,5.9 79 1000 2.7 0
2022-10-13 20:17:29.813046,17105400,17167977,18,5.9 81 999.9 3.1 0
2022-10-13 21:17:29.799077,17109060,17171577,18,5.6 84 1000.1 3.1 0
2022-10-13 22:17:29.821224,17112720,17175177,18,5.3 88 1000.2 3.5 0
2022-10-13 23:17:29.862018,17116380,17178777,18,5.1 89 1000.3 3.6 0
2022-10-14 00:17:29.834746,17120040,17182377,18,5.2 89 1000.5 3.6 0
2022-10-14 01:17:29.829006,17123700,17185977,18,4.5 92 1000.6 3.4 0
2022-10-14 02:17:29.823097,17127360,17189577,18,4.2 94 1000.8 3.4 0
2022-10-14 03:17:29.860468,17131020,17193177,18,4.2 93 1000.8 3.2 0
2022-10-14 04:17:29.834025,17134680,17196777,18,4.1 94 1000.7 3.3 0
2022-10-14 05:17:29.774132,17138340,17200377,18,3.7 96 1000.6 3.1 0
2022-10-14 06:17:29.811086,17142000,17203977,18,1.1 100 1000.6 1.1 0
2022-10-14 07:17:29.855107,17145660,17207577,18,0.7 100 1000.6 0.7 0
2022-10-14 08:17:29.806406,17149320,17211177,18,2.8 100 1000.5 2.8 0
2022-10-14 09:17:29.797997,17152980,17214777,18,4.4 91 1000.5 3.2 0
2022-10-14 10:17:29.842534,17156640,17218377,18,7 74 1000.7 2.8 0
2022-10-14 11:17:29.781065,17160300,17221977,18,7.8 67 1000.6 2.1 0
2022-10-14 12:17:29.822033,17163960,17225577,18,8.9 69 1000.3 3.5 0
2022-10-14 13:17:29.836232,17167620,17229177,18,8.8 71 1000.2 3.9 0
2022-10-14 14:17:30.242977,17171281,17232778,18,7.3 83 1000.3 4.6 0
2022-10-14 15:17:30.766842,17174941,17236378,18,7.1 84 1000.1 4.7 0
2022-10-14 16:17:30.749557,17178602,17239979,18,6.6 85 999.9 4.3 0
2022-10-14 17:17:30.730794,17182262,17243579,18,6.9 83 999.7 4.3 0
2022-10-14 18:17:30.763003,17185922,17247179,18,7 82 999.6 4.2 0
2022-10-14 19:17:30.749542,17189582,17250779,18,7 85 999.6 4.6 0
2022-10-14 20:17:30.579998,17193242,17254379,18,7.1 85 999.6 4.9 0
2022-10-14 21:17:29.790805,17196901,17257978,18,7.2 83 999.7 4.5 0
2022-10-14 22:17:29.769314,17200561,17261578,18,6.6 84 999.8 4.1 0
2022-10-14 23:17:29.795039,17204221,17265178,18,5.3 91 999.8 3.9 0
2022-10-15 00:17:29.772949,17207881,17268778,18,4.5 94 999.9 3.7 0
2022-10-15 01:17:29.783390,17211541,17272378,18,5.4 90 1000.1 3.9 0
2022-10-15 02:17:29.775055,17215201,17275978,18,5.7 88 1000.1 3.9 0
2022-10-15 03:17:29.789194,17218861,17279578,18,5.7 87 1000.1 3.8 0
2022-10-15 04:17:29.826512,17222521,17283178,18,6 84 1000 3.7 0
2022-10-15 05:17:29.770678,17226181,17286778,18,6 85 1000.3 3.7 0
2022-10-15 06:17:29.780912,17229841,17290378,18,5.9 85 1000.7 3.7 0
2022-10-15 07:17:29.760777,17233501,17293978,18,6 85 1000.7 3.7 0
2022-10-15 08:17:29.766145,17237162,17297579,18,6.3 81 1001.1 3.4 0
2022-10-15 09:17:29.770162,17240822,17301179,18,6.8 76 1001.2 3 0
2022-10-15 10:17:29.786521,17244482,17304779,18,7.1 76 1001.4 3.2 0
2022-10-15 11:17:29.794091,17248142,17308379,18,7.8 73 1001.7 3.3 0
