DataID,TimeStamp,DeviceID,DeviceData
16789971,2022-10-09 11:17:30.208192,18,15 63 991.6 8 0
16793572,2022-10-09 12:17:30.422118,18,16.2 56 991.2 7.5 0
16797171,2022-10-09 13:17:30.198897,18,16.5 52 990.9 6.8 0
16800771,2022-10-09 14:17:29.755503,18,16.7 50 990.6 6.4 0
16804372,2022-10-09 15:17:30.240605,18,16 52 990.8 6.3 0
16807972,2022-10-09 16:17:30.249241,18,13.2 74 991.6 8.7 0
16811572,2022-10-09 17:17:30.248579,18,11.7 86 991.6 9.5 0
16815172,2022-10-09 18:17:30.246686,18,10.7 99 992.3 10.5 0
16818772,2022-10-09 19:17:30.248388,18,10.4 100 992.7 10.4 0
16822372,2022-10-09 20:17:30.265598,18,10.2 100 992.8 10.2 0
16825972,2022-10-09 21:17:30.230845,18,10.1 100 993 10.1 0
16829572,2022-10-09 22:17:30.275194,18,10.1 100 993.6 10.1 0
16833172,2022-10-09 23:17:30.251615,18,10.1 100 993.7 10.1 0
16836772,2022-10-10 00:17:30.257896,18,10 100 993.7 10 0
16840372,2022-10-10 01:17:30.251675,18,9.7 98 994.4 9.5 0
16843972,2022-10-10 02:17:30.263616,18,9.6 97 994.9 9.1 0
16847572,2022-10-10 03:17:30.254689,18,9.5 96 995.2 9.1 0
16851172,2022-10-10 04:17:30.243671,18,9.4 91 995.7 8.1 0
16854772,2022-10-10 05:17:30.461195,18,9.3 92 996.6 8.1 0
16858372,2022-10-10 06:17:30.248900,18,9.1 91 997 7.7 0
16861972,2022-10-10 07:17:30.241378,18,9 91 997.8 7.6 0
16865572,2022-10-10 08:17:30.235077,18,8.7 90 998.6 7.2 0
16869173,2022-10-10 09:17:30.265448,18,9 87 999.1 7 0
16872772,2022-10-10 10:17:30.238851,18,10 82 999.5 7 0
16876373,2022-10-10 11:17:30.233551,18,11.1 77 999.6 7.3 0
16879973,2022-10-10 12:17:30.456026,18,12.2 58 999.8 4.3 0
16883573,2022-10-10 13:17:30.240856,18,12.9 55 1000 4.2 0
16887172,2022-10-10 14:17:29.746227,18,12.7 51 999.9 2.8 0
16890773,2022-10-10 15:17:30.281690,18,11.8 59 1000.1 4.2 0
16894373,2022-10-10 16:17:30.261394,18,11.1 66 1000.2 5 0
16897973,2022-10-10 17:17:30.260969,18,9.8 74 1000.4 5.4 0
16901573,2022-10-10 18:17:30.261368,18,8.9 79 1000.6 5.5 0
16905173,2022-10-10 19:17:30.273790,18,8.3 79 1000.8 5 0
16908773,2022-10-10 20:17:30.242410,18,7.3 83 1001.1 4.6 0
16912373,2022-10-10 21:17:30.239823,18,5.7 90 1001.2 4.2 0
16915973,2022-10-10 22:17:30.235543,18,5 94 1001.1 4.2 0
16919573,2022-10-10 23:17:30.247279,18,4.3 99 1000.9 4.2 0
16923173,2022-10-11 00:17:30.258905,18,3.8 100 1000.7 3.8 0
16926773,2022-10-11 01:17:30.261027,18,3.5 100 1000.5 3.5 0
16930373,2022-10-11 02:17:30.251478,18,3.2 100 1000.3 3.2 0
16933973,2022-10-11 03:17:30.242591,18,3 100 1000 3 0
16937574,2022-10-11 04:17:30.525257,18,2.4 100 999.9 2.4 0
16941174,2022-10-11 05:17:30.251121,18,2.2 100 999.9 2.2 0
16944774,2022-10-11 06:17:30.266527,18,1.9 100 999.8 1.9 0
16948374,2022-10-11 07:17:30.250564,18,1.4 100 999.6 1.4 0
16951974,2022-10-11 08:17:30.267111,18,4.4 100 999.6 4.4 0
16955574,2022-10-11 09:17:30.230419,18,6.1 89 999.4 4.5 0
16959174,2022-10-11 10:17:30.268691,18,9 72 999.4 4.3 0
16962774,2022-10-11 11:17:30.241800,18,9.3 66 999.1 3.4 0
16966374,2022-10-11 12:17:30.258307,18,10.2 57 998.5 2 0
16969974,2022-10-11 13:17:30.234611,18,11.2 51 997.9 1.6 0
16973573,2022-10-11 14:17:29.752178,18,11.6 46 997.3 0.6 0
16977174,2022-10-11 15:17:30.251011,18,11.7 46 996.7 0.5 0
16980774,2022-10-11 16:17:30.272777,18,11.1 49 996.2 0.9 0
16984374,2022-10-11 17:17:30.249714,18,8.6 60 996.2 1.4 0
16987974,2022-10-11 18:17:30.274177,18,5.9 70 996.3 0.9 0
16991574,2022-10-11 19:17:30.258124,18,5 76 996.3 1.1 0
16995174,2022-10-11 20:17:30.247310,18,5.2 90 996.2 3.8 0
16998774,2022-10-11 21:17:30.253115,18,4.5 95 995.9 3.8 0
17002374,2022-10-11 22:17:30.257826,18,3.6 100 995.4 3.6 0
17005975,2022-10-11 23:17:30.247482,18,3.1 100 995.3 3.1 0
17009575,2022-10-12 00:17:30.261635,18,2.7 100 995 2.7 0
17013175,2022-10-12 01:17:30.278373,18,2.4 100 995 2.4 0
